timestamp_ms ,valid_samples ,distance_cm,85
0,83.59,7,85
100,82.4,7,85
220,82.35,7,85
340,82.82,7,85
461,83.42,7,85
582,84.08,7,85
703,84.47,7,85
825,85.7,7,85
946,85.76,7,85
1069,89.17,7,85
1191,90.98,7,85
1315,90.34,7,85
1439,87.75,7,85
1562,89.5,7,85
1685,90.0,7,85
1809,87.64,7,85
1932,87.84,7,85
2055,87.82,7,85
2178,89.09,7,85
2300,89.89,7,85
2424,88.46,7,85
2547,87.62,7,85
2670,90.94,7,85
2794,90.62,7,85
2918,90.72,7,85
3042,89.14,7,85
3165,90.77,7,85
3289,89.62,7,85
3412,90.75,7,85
3536,89.54,7,85
3660,90.28,7,85
3783,90.03,7,85
3907,90.65,7,85
4031,89.99,7,85
4155,88.07,7,85
4278,87.1,7,85
4401,85.95,7,85
4523,84.95,7,85
4644,84.48,7,85
4765,84.41,7,85
4887,84.84,7,85
5008,84.84,7,85
5130,85.32,7,85
5252,88.52,7,85
5376,88.06,7,85
5498,87.03,7,85
5620,86.22,7,85
5743,85.76,7,85
5865,85.52,7,85
5987,85.67,7,85
6109,86.36,7,85
6231,87.84,7,85
6353,92.24,7,85
6482,91.09,7,85
6606,89.94,7,85
6730,88.95,7,85
6854,90.31,7,85
6977,88.19,7,85
7100,88.22,7,85
7224,89.27,7,85
7347,89.37,7,85
7471,87.66,7,85
7592,88.31,7,85
7716,85.49,7,85
7838,84.38,7,85
7959,83.8,7,85
8080,83.17,7,85
8201,83.07,7,85
8322,82.9,7,85
8442,82.9,7,85
8563,83.02,7,85
8684,83.07,7,85
8805,83.22,7,85
8926,83.39,7,85
9047,83.18,7,85
9167,82.93,7,85
9288,82.78,7,85
9409,82.77,7,85
9530,82.8,7,85
9651,82.88,7,85
9772,82.91,7,85
9892,82.99,7,85
10013,83.11,7,85
10134,83.24,7,85
10255,83.17,7,85
10376,83.26,7,85
10497,83.24,7,85
10617,83.32,7,85
10738,83.39,7,85
10859,83.44,7,85
10981,83.43,7,85
11102,83.36,7,85
11223,83.35,7,85
11343,83.4,7,85
11464,83.51,7,85
11585,83.53,7,85
11707,83.43,7,85
11828,83.46,7,85
11949,83.5,7,85
12069,83.51,7,85
12190,83.44,7,85
12312,83.29,7,85
12433,83.44,7,85
12554,83.46,7,85
12675,83.54,7,85
12795,83.61,7,85
12916,83.7,7,85
13038,83.69,7,85
13159,83.66,7,85
13280,83.58,7,85
13402,83.55,7,85
13522,83.6,7,85
13643,83.61,7,85
13764,83.6,7,85
13885,83.59,7,85
14007,83.6,7,85
14128,83.6,7,85
14248,83.53,7,85
14369,83.54,7,85
14491,83.46,7,85
14612,83.35,7,85
14733,83.22,7,85
14854,83.23,7,85
14974,83.23,7,85
15095,83.25,7,85
15216,83.26,7,85
15338,83.27,7,85
15459,83.26,7,85
15580,83.33,7,85
15700,83.37,7,85
15821,83.46,7,85
15942,83.51,7,85
16063,83.53,7,85
16185,83.55,7,85
16306,83.74,7,85
16427,83.54,7,85
16547,83.51,7,85
16668,83.55,7,85
16790,83.69,7,85
16911,83.59,7,85
17032,83.79,7,85
17154,83.88,7,85
17274,83.54,7,85
17395,83.42,7,85
17516,83.42,7,85
17638,83.37,7,85
17759,83.38,7,85
17880,83.38,7,85
18000,83.4,7,85
18121,83.42,7,85
18242,83.43,7,85
18364,83.43,7,85
18485,83.44,7,85
18606,83.46,7,85
18726,83.47,7,85
18847,83.47,7,85
18968,83.53,7,85
19090,83.62,7,85
19211,83.54,7,85
19332,83.55,7,85
19452,83.45,7,85
19574,83.38,7,85
19695,83.35,7,85
19816,83.34,7,85
19937,83.37,7,85
20058,83.33,7,85
20178,83.35,7,85
20299,83.36,7,85
20421,83.35,7,85
20542,83.36,7,85
20663,83.39,7,85
20784,83.53,7,85
20904,83.51,7,85
21025,83.54,7,85
21147,83.47,7,85
21268,83.44,7,85
21389,83.42,7,85
21510,83.42,7,85
21630,83.45,7,85
21752,83.47,7,85
21873,83.46,7,85
21994,83.46,7,85
22115,83.58,7,85
22236,83.54,7,85
22358,83.57,7,85
22478,83.57,7,85
22599,83.55,7,85
22720,83.64,7,85
22842,83.88,7,85
22963,84.22,7,85
23084,84.26,7,85
23205,84.24,7,85
23326,84.22,7,85
23448,84.24,7,85
23569,84.24,7,85
23691,84.66,7,85
23812,85.39,7,85
23933,93.23,7,85
