timestamp_ms ,valid_samples ,distance_cm,45
0,43.46,7,45
100,43.05,7,45
203,43.22,7,45
308,44.13,7,45
413,43.5,7,45
518,43.42,7,45
622,43.34,7,45
727,43.54,7,45
831,43.78,7,45
935,43.52,7,45
1040,43.6,7,45
1144,43.76,7,45
1250,44.28,7,45
1354,44.41,7,45
1459,43.61,7,45
1564,43.31,7,45
1669,44.3,7,45
1773,43.57,7,45
1878,44.05,7,45
1983,44.73,7,45
2087,44.82,7,45
2193,44.82,7,45
2298,44.82,7,45
2403,44.66,7,45
2508,44.1,7,45
2613,44.01,7,45
2717,44.03,7,45
2823,44.07,7,45
2927,44.47,7,45
3033,44.43,7,45
3137,44.49,7,45
3243,44.82,7,45
3347,44.82,7,45
3452,44.41,7,45
3558,44.44,7,45
3662,44.42,7,45
3767,44.44,7,45
3872,44.26,7,45
3977,44.03,7,45
4082,44.03,7,45
4187,44.01,7,45
4291,44.28,7,45
4397,44.17,7,45
4501,44.01,7,45
4606,44.03,7,45
4711,44.01,7,45
4815,44.12,7,45
4920,44.43,7,45
5025,44.42,7,45
5130,44.05,7,45
5235,44.01,7,45
5340,44.44,7,45
5445,44.82,7,45
5550,44.82,7,45
5655,44.82,7,45
5760,44.44,7,45
5865,44.42,7,45
5970,44.52,7,45
6075,44.42,7,45
6180,44.43,7,45
6285,44.25,7,45
6389,44.03,7,45
6495,44.02,7,45
6599,44.09,7,45
6705,44.03,7,45
6809,44.01,7,45
6914,43.69,7,45
7018,43.62,7,45
7123,44.03,7,45
7228,45.02,7,45
7333,44.61,7,45
7438,44.27,7,45
7543,45.21,7,45
7648,44.84,7,45
7753,44.8,7,45
7859,44.82,7,45
7963,44.59,7,45
8069,44.41,7,45
8173,44.44,7,45
8279,44.44,7,45
8383,44.43,7,45
8488,44.58,7,45
8593,44.68,7,45
8698,44.5,7,45
8804,44.44,7,45
8908,44.42,7,45
9014,44.52,7,45
9118,44.74,7,45
9224,44.49,7,45
9328,44.41,7,45
9434,44.43,7,45
9538,44.66,7,45
9644,44.82,7,45
9748,44.59,7,45
9853,44.81,7,45
9959,44.42,7,45
10063,44.81,7,45
10169,44.43,7,45
10273,44.82,7,45
10379,44.58,7,45
10484,45.0,7,45
10589,44.81,7,45
10694,44.83,7,45
10800,44.9,7,45
10904,45.06,7,45
11010,44.57,7,45
11115,44.49,7,45
11219,44.68,7,45
11325,44.88,7,45
11430,45.21,7,45
11536,44.43,7,45
11640,44.34,7,45
11746,44.6,7,45
11850,45.0,7,45
11956,44.74,7,45
12061,44.78,7,45
12166,44.47,7,45
12271,44.88,7,45
12377,45.47,7,45
12482,45.07,7,45
12587,44.99,7,45
12692,45.16,7,45
12797,44.64,7,45
12903,45.06,7,45
13007,44.81,7,45
13113,45.22,7,45
13218,44.63,7,45
13324,44.21,7,45
13428,45.18,7,45
13534,45.01,7,45
13639,44.58,7,45
13744,44.78,7,45
13849,44.68,7,45
13955,44.88,7,45
14060,45.22,7,45
14164,44.44,7,45
14270,45.16,7,45
14375,44.93,7,45
14480,44.37,7,45
14585,44.65,7,45
14691,44.52,7,45
14795,44.57,7,45
14901,44.68,7,45
15005,44.93,7,45
15111,44.68,7,45
15216,44.42,7,45
15321,44.68,7,45
15426,44.65,7,45
15532,44.43,7,45
15636,44.71,7,45
15741,44.76,7,45
15847,44.74,7,45
15951,45.13,7,45
16057,44.74,7,45
16162,44.98,7,45
16267,44.84,7,45
16372,44.57,7,45
16478,44.5,7,45
16582,44.84,7,45
16688,44.79,7,45
16793,44.51,7,45
16898,44.41,7,45
17003,44.39,7,45
17107,44.49,7,45
17213,44.82,7,45
17318,44.97,7,45
17423,45.22,7,45
17528,45.3,7,45
17634,44.82,7,45
17739,44.5,7,45
17844,44.52,7,45
17949,44.84,7,45
18055,44.56,7,45
18159,44.42,7,45
18265,44.42,7,45
18369,44.84,7,45
18475,45.95,7,45
18580,45.82,7,45
18685,45.81,7,45
18791,45.83,7,45
18896,45.76,7,45
19002,45.42,7,45
19107,45.75,7,45
19213,45.75,7,45
19319,45.67,7,45
19425,45.46,7,45
19530,45.67,7,45
19636,45.83,7,45
19741,45.83,7,45
19847,47.34,7,45
19952,46.93,7,45
20059,45.73,7,45
20164,45.41,7,45
20270,45.67,7,45
20375,45.45,7,45
20481,45.67,7,45
