timestamp_ms ,valid_samples ,distance_cm,40
0,39.48,7,40
100,39.9,7,40
202,40.22,7,40
306,39.12,7,40
408,40.33,7,40
512,40.26,7,40
615,39.82,7,40
717,39.82,7,40
821,40.24,7,40
924,40.29,7,40
1027,40.26,7,40
1130,40.26,7,40
1233,40.28,7,40
1337,40.25,7,40
1440,39.82,7,40
1543,40.09,7,40
1646,40.29,7,40
1750,40.28,7,40
1853,39.9,7,40
1955,39.84,7,40
2059,39.82,7,40
2162,40.1,7,40
2265,40.26,7,40
2368,40.09,7,40
2471,39.81,7,40
2575,39.82,7,40
2677,39.84,7,40
2781,39.82,7,40
2884,39.81,7,40
2987,39.82,7,40
3090,39.82,7,40
3192,39.84,7,40
3296,39.8,7,40
3399,39.82,7,40
3502,39.82,7,40
3605,39.82,7,40
3708,39.81,7,40
3811,39.91,7,40
3914,40.0,7,40
4018,39.82,7,40
4120,39.82,7,40
4224,39.82,7,40
4326,39.82,7,40
4429,39.82,7,40
4533,39.82,7,40
4635,39.56,7,40
4739,39.36,7,40
4841,39.38,7,40
4944,39.45,7,40
5047,39.46,7,40
5150,39.34,7,40
5253,38.89,7,40
5356,38.91,7,40
5458,38.91,7,40
5561,38.89,7,40
5663,38.89,7,40
5767,39.09,7,40
5869,39.05,7,40
5971,38.89,7,40
6074,38.9,7,40
6177,38.9,7,40
6280,38.89,7,40
6382,38.89,7,40
6486,38.91,7,40
6588,38.91,7,40
6690,38.89,7,40
6793,38.89,7,40
6896,38.9,7,40
6999,38.91,7,40
7101,38.89,7,40
7203,38.89,7,40
7307,38.91,7,40
7409,38.91,7,40
7512,38.89,7,40
7614,38.89,7,40
7717,38.9,7,40
7820,38.91,7,40
7922,38.89,7,40
8025,38.91,7,40
8128,38.91,7,40
8230,39.17,7,40
8333,39.54,7,40
8436,39.82,7,40
8539,40.19,7,40
8642,40.27,7,40
8745,39.45,7,40
8848,39.14,7,40
8951,39.22,7,40
9054,39.31,7,40
9157,39.15,7,40
9260,39.29,7,40
9363,39.4,7,40
9465,39.59,7,40
9568,39.5,7,40
9671,39.47,7,40
9775,39.39,7,40
9877,39.12,7,40
9979,39.12,7,40
10083,40.08,7,40
10186,40.37,7,40
10289,40.29,7,40
10392,40.11,7,40
10496,39.82,7,40
10599,39.72,7,40
10701,39.37,7,40
10805,38.89,7,40
10907,38.87,7,40
11011,38.91,7,40
11113,38.88,7,40
11215,38.89,7,40
11318,40.02,7,40
11421,39.58,7,40
11525,39.03,7,40
11627,38.63,7,40
11729,38.67,7,40
11833,38.67,7,40
11935,39.35,7,40
12038,39.82,7,40
12141,39.82,7,40
12244,39.82,7,40
12347,39.8,7,40
12450,39.82,7,40
12554,38.89,7,40
12656,38.65,7,40
12759,38.66,7,40
12861,38.67,7,40
12964,39.14,7,40
13067,39.56,7,40
13170,39.59,7,40
13273,39.36,7,40
13376,38.91,7,40
13478,38.98,7,40
13581,39.82,7,40
13684,40.28,7,40
13788,39.77,7,40
13890,39.14,7,40
13993,39.11,7,40
14096,39.12,7,40
14199,39.14,7,40
14302,39.11,7,40
14404,39.14,7,40
14508,39.12,7,40
14610,39.12,7,40
14713,39.14,7,40
14816,39.45,7,40
14919,40.37,7,40
15022,40.28,7,40
15125,40.02,7,40
15228,39.82,7,40
15332,39.8,7,40
15434,39.37,7,40
15538,39.25,7,40
15640,38.91,7,40
15744,38.89,7,40
15846,40.03,7,40
15949,39.68,7,40
16052,39.6,7,40
16155,39.1,7,40
16258,38.68,7,40
16361,38.68,7,40
16463,38.67,7,40
16566,38.67,7,40
16668,38.65,7,40
16772,39.8,7,40
16874,38.66,7,40
16976,38.68,7,40
17080,38.68,7,40
17182,38.95,7,40
17285,39.4,7,40
17388,39.57,7,40
17490,39.58,7,40
17594,38.91,7,40
17696,38.87,7,40
17799,38.91,7,40
17902,39.01,7,40
18004,39.34,7,40
18107,39.84,7,40
18210,40.46,7,40
18314,39.12,7,40
18416,39.14,7,40
18520,39.12,7,40
18622,39.1,7,40
18725,39.14,7,40
18828,39.1,7,40
18930,39.14,7,40
19034,39.12,7,40
19136,39.11,7,40
19239,39.14,7,40
19342,39.9,7,40
19445,40.28,7,40
19549,39.81,7,40
19651,39.82,7,40
19755,39.35,7,40
19857,38.91,7,40
19960,38.91,7,40
20063,39.12,7,40
20165,39.58,7,40
20269,38.89,7,40
20371,38.89,7,40
20474,40.03,7,40
20577,40.05,7,40
20680,39.59,7,40
20784,39.56,7,40
20886,38.93,7,40
20989,38.82,7,40
21092,39.35,7,40
21194,39.26,7,40
21298,39.34,7,40
21400,38.91,7,40
21504,38.78,7,40
21606,38.45,7,40
21708,38.43,7,40
21811,38.43,7,40
21913,38.99,7,40
22017,39.54,7,40
22119,38.89,7,40
22222,38.68,7,40
22325,38.87,7,40
22427,39.5,7,40
22531,39.14,7,40
22633,38.89,7,40
22735,39.01,7,40
22839,39.45,7,40
