timestamp_ms,distance_cm,valid_samples,ground_truth
9300,30.05,7,30
9400,30.05,7,30
9500,30.05,7,30
9600,30.05,7,30
9700,30.05,7,30
9800,29.74,7,30
9900,30.31,7,30
10000,30.58,7,30
10100,29.95,7,30
10200,29.79,7,30
10300,30.84,7,30
10400,30.31,7,30
10500,30.32,7,30
10600,30.84,7,30
10700,30.84,7,30
10800,30.84,7,30
10900,30.84,7,30
11000,30.84,7,30
11100,30.84,7,30
11200,30.84,7,30
11300,30.36,7,30
11400,30.23,7,30
11500,30.52,7,30
11600,30.05,7,30
11700,30.05,7,30
11800,30.05,7,30
11900,30.05,7,30
12000,30.05,7,30
12100,30.07,7,30
12200,31.37,7,30
12300,30.91,7,30
12400,30.73,7,30
12500,30.9,7,30
12600,30.58,7,30
12700,30.58,7,30
12800,30.57,7,30
12900,30.39,7,30
13000,30.05,7,30
13100,30.05,7,30
13200,30.05,7,30
13300,30.05,7,30
13400,30.82,7,30
13500,30.84,7,30
13600,30.63,7,30
13700,30.32,7,30
13800,30.32,7,30
13900,30.31,7,30
14000,30.31,7,30
14100,30.16,7,30
14200,29.79,7,30
14300,29.79,7,30
14400,29.79,7,30
14500,30.42,7,30
14600,30.26,7,30
14700,29.79,7,30
14800,29.79,7,30
14900,30.18,7,30
15000,30.31,7,30
15100,30.43,7,30
15200,30.84,7,30
15300,30.84,7,30
15400,30.84,7,30
15500,30.37,7,30
15600,30.05,7,30
15700,30.28,7,30
15800,30.58,7,30
15900,30.57,7,30
16000,30.57,7,30
16100,30.58,7,30
16200,30.58,7,30
16300,30.58,7,30
16400,30.59,7,30
16500,30.6,7,30
16600,30.05,7,30
16700,30.05,7,30
16800,30.05,7,30
16900,30.23,7,30
17000,30.84,7,30
17100,30.84,7,30
17200,30.84,7,30
17300,30.32,7,30
17400,30.31,7,30
17500,30.35,7,30
17600,29.79,7,30
17700,29.79,7,30
17800,29.78,7,30
17900,29.79,7,30
18000,29.79,7,30
18100,29.79,7,30
18200,29.78,7,30
18300,29.79,7,30
18400,29.79,7,30
18500,29.81,7,30
18600,30.33,7,30
18700,30.31,7,30
18800,30.32,7,30
18900,30.73,7,30
19000,30.84,7,30
19100,30.84,7,30
19200,30.21,7,30
19300,30.05,7,30
19400,30.73,7,30
19500,30.85,7,30
19600,30.87,7,30
19700,30.74,7,30
19800,30.58,7,30
19900,30.6,7,30
20000,30.57,7,30
20100,30.58,7,30
20200,30.6,7,30
20300,30.05,7,30
20400,30.05,7,30
20500,30.82,7,30
20600,30.82,7,30
20700,30.84,7,30
20800,30.42,7,30
20900,30.31,7,30
21000,30.31,7,30
21100,30.31,7,30
21200,30.31,7,30
21300,30.31,7,30
21400,30.31,7,30
21500,30.32,7,30
21600,30.21,7,30
21700,29.79,7,30
21800,29.79,7,30
21900,30.33,7,30
22000,31.11,7,30
22100,31.11,7,30
22200,30.32,7,30
22300,30.32,7,30
22400,30.53,7,30
22500,30.84,7,30
22600,30.84,7,30
22700,30.84,7,30
22800,30.37,7,30
22900,30.05,7,30
23000,30.05,7,30
23100,30.33,7,30
23200,31.06,7,30
23300,30.6,7,30
23400,30.58,7,30
23500,30.58,7,30
23600,30.58,7,30
23700,30.58,7,30
23800,30.58,7,30
23900,30.58,7,30
24000,30.58,7,30
24100,30.6,7,30
24200,31.36,7,30
24300,30.57,7,30
24400,30.05,7,30
24500,30.37,7,30
24600,30.84,7,30
24700,30.84,7,30
24800,30.63,7,30
24900,30.31,7,30
25000,30.31,7,30
25100,30.31,7,30
25200,30.31,7,30
25300,30.32,7,30
25400,30.32,7,30
25500,30.32,7,30
25600,31.1,7,30
25700,30.32,7,30
25800,30.32,7,30
25900,30.31,7,30
26000,30.31,7,30
26100,30.32,7,30
26200,30.31,7,30
26300,30.31,7,30
26400,30.31,7,30
26500,30.32,7,30
26600,30.32,7,30
26700,30.31,7,30
26800,30.31,7,30
26900,30.31,7,30
27000,30.31,7,30
27100,30.31,7,30
27200,30.53,7,30
27300,30.84,7,30
27400,30.84,7,30
27500,30.84,7,30
27600,30.84,7,30
27700,30.68,7,30
27800,30.68,7,30
27900,30.84,7,30
28000,30.07,7,30
28100,30.05,7,30
28200,30.05,7,30
28300,30.05,7,30
28400,30.05,7,30
28500,30.05,7,30
28600,30.05,7,30
28700,30.05,7,30
28800,30.05,7,30
28900,30.05,7,30
29000,30.05,7,30
29100,30.05,7,30
29200,30.05,7,30
29300,30.05,7,30
29400,30.05,7,30
29500,30.05,7,30
29600,30.06,7,30
29700,30.58,7,30
29800,30.06,7,30
29900,31.19,7,30
30000,30.15,7,30
30100,30.05,7,30
30200,30.05,7,30
30300,30.37,7,30
30400,30.05,7,30
30500,30.05,7,30
30600,30.05,7,30
30700,30.05,7,30
30800,30.05,7,30
30900,30.05,7,30
31000,30.08,7,30
31100,30.84,7,30
31200,30.37,7,30
31300,30.05,7,30
31400,30.05,7,30
31500,30.37,7,30
31600,30.84,7,30
31700,30.84,7,30
31800,30.84,7,30
31900,30.24,7,30
32000,30.07,7,30
32100,30.05,7,30
32200,30.05,7,30
32300,30.05,7,30
32400,30.05,7,30
32500,30.33,7,30
32600,30.58,7,30
32700,30.05,7,30
32800,30.52,7,30
32900,30.58,7,30
33000,30.57,7,30
33100,30.58,7,30
33200,30.58,7,30
33300,30.58,7,30
33400,30.58,7,30
33500,30.58,7,30
33600,30.57,7,30
33700,30.58,7,30
33800,30.59,7,30
33900,30.58,7,30
34000,30.05,7,30
34100,30.05,7,30
34200,30.05,7,30
34300,30.2,7,30
34400,30.84,7,30
34500,30.84,7,30
34600,30.83,7,30
34700,30.84,7,30
34800,30.84,7,30
34900,30.84,7,30
35000,30.84,7,30
35100,30.52,7,30
35200,30.05,7,30
35300,30.05,7,30
35400,30.05,7,30
35500,30.07,7,30
35600,30.57,7,30
35700,30.57,7,30
35800,30.58,7,30
35900,30.57,7,30
36000,30.57,7,30
36100,30.58,7,30
36200,30.58,7,30
36300,30.58,7,30
36400,30.58,7,30
36500,30.58,7,30
36600,30.58,7,30
36700,30.58,7,30
36800,30.57,7,30
36900,31.2,7,30
37000,30.73,7,30
37100,30.74,7,30
37200,30.31,7,30
37300,30.05,7,30
37400,30.23,7,30
37500,30.04,7,30
37600,30.05,7,30
37700,30.05,7,30
37800,30.23,7,30
37900,30.05,7,30
38000,30.37,7,30
38100,30.84,7,30
38200,30.68,7,30
38300,30.21,7,30
38400,30.05,7,30
38500,30.05,7,30
38600,30.57,7,30
38700,31.36,7,30
38800,31.06,7,30
38900,30.57,7,30
39000,30.58,7,30
39100,30.57,7,30
39200,30.57,7,30
39300,30.58,7,30
39400,30.58,7,30
39500,30.58,7,30
39600,30.57,7,30
39700,30.57,7,30
39800,30.58,7,30
39900,30.58,7,30
40000,30.58,7,30
40100,30.58,7,30
40200,30.28,7,30
40300,30.05,7,30
40400,30.05,7,30
40500,30.05,7,30
40600,30.05,7,30
40700,30.05,7,30
40800,30.05,7,30
40900,30.05,7,30
41000,30.05,7,30
41100,30.05,7,30
41200,30.05,7,30
41300,30.05,7,30
41400,30.05,7,30
41500,30.05,7,30
41600,30.05,7,30
41700,30.05,7,30
41800,30.05,7,30
41900,30.05,7,30
42000,30.05,7,30
42100,30.05,7,30
42200,30.06,7,30
42300,30.05,7,30
42400,30.37,7,30
42500,30.84,7,30
42600,30.52,7,30
42700,30.05,7,30
42800,30.05,7,30
42900,30.05,7,30
43000,30.05,7,30
43100,30.07,7,30
43200,31.2,7,30
43300,31.03,7,30
43400,30.58,7,30
43500,30.57,7,30
43600,30.58,7,30
43700,30.57,7,30
43800,30.57,7,30
43900,30.57,7,30
44000,30.58,7,30
44100,30.58,7,30
44200,30.58,7,30
44300,30.6,7,30
44400,31.21,7,30
44500,31.21,7,30
44600,31.2,7,30
44700,30.05,7,30
44800,30.05,7,30
44900,30.05,7,30
45000,30.05,7,30
45100,30.05,7,30
45200,30.05,7,30
45300,30.06,7,30
45400,30.05,7,30
45500,30.84,7,30
45600,30.07,7,30
45700,30.05,7,30
45800,30.05,7,30
45900,30.05,7,30
46000,30.05,7,30
46100,30.07,7,30
46200,30.58,7,30
46300,30.6,7,30
46400,31.34,7,30
46500,31.36,7,30
46600,31.36,7,30
46700,31.34,7,30
46800,31.35,7,30
46900,31.37,7,30
47000,31.37,7,30
47100,31.34,7,30
47200,30.05,7,30
47300,30.05,7,30
47400,30.05,7,30
47500,30.58,7,30
47600,31.37,7,30
47700,31.36,7,30
47800,30.58,7,30
47900,30.58,7,30
48000,31.36,7,30
48100,30.74,7,30
48200,30.58,7,30
48300,30.57,7,30
48400,30.58,7,30
48500,31.62,7,30
48600,31.89,7,30
48700,30.86,7,30
48800,30.58,7,30
48900,30.58,7,30
49000,30.58,7,30
49100,30.58,7,30
49200,30.58,7,30
49300,30.58,7,30
49400,31.05,7,30
49500,31.37,7,30
49600,31.37,7,30
49700,31.37,7,30
49800,30.58,7,30
49900,30.07,7,30
50000,30.05,7,30
50100,30.52,7,30
50200,30.84,7,30
50300,30.84,7,30
50400,30.84,7,30
50500,30.84,7,30
50600,30.84,7,30
50700,30.74,7,30
50800,30.72,7,30
50900,30.84,7,30
51000,30.84,7,30
51100,30.84,7,30
51200,30.84,7,30
51300,30.83,7,30
51400,30.84,7,30
51500,30.36,7,30
51600,30.99,7,30
51700,31.36,7,30
51800,31.37,7,30
51900,31.36,7,30
52000,31.37,7,30
52100,31.36,7,30
52200,31.37,7,30
52300,31.37,7,30
52400,31.36,7,30
52500,31.36,7,30
52600,31.36,7,30
52700,31.37,7,30
52800,31.36,7,30
52900,31.35,7,30
53000,31.36,7,30
53100,31.36,7,30
53200,30.86,7,30
53300,30.84,7,30
53400,30.84,7,30
53500,30.84,7,30
53600,30.84,7,30
53700,30.84,7,30
53800,30.84,7,30
53900,30.84,7,30
54000,30.84,7,30
54100,30.84,7,30
54200,30.84,7,30
54300,30.84,7,30
54400,30.84,7,30
54500,30.86,7,30
54600,31.36,7,30
54700,31.36,7,30
54800,31.36,7,30
54900,31.36,7,30
55000,31.36,7,30
55100,31.37,7,30
55200,31.37,7,30
55300,31.36,7,30
55400,31.36,7,30
55500,31.37,7,30
55600,31.36,7,30
55700,31.36,7,30
55800,31.37,7,30
55900,31.36,7,30
56000,31.36,7,30
56100,31.15,7,30
56200,30.84,7,30
56300,30.84,7,30
56400,30.84,7,30
56500,30.84,7,30
56600,30.84,7,30
56700,31.31,7,30
56800,30.84,7,30
56900,30.84,7,30
57000,30.84,7,30
57100,30.84,7,30
57200,30.84,7,30
57300,30.84,7,30
57400,30.84,7,30
57500,30.84,7,30
57600,31.05,7,30
57700,31.37,7,30
57800,31.35,7,30
57900,31.36,7,30
58000,31.36,7,30
58100,31.36,7,30
58200,31.36,7,30
58300,31.36,7,30
58400,31.35,7,30
58500,31.36,7,30
58600,31.38,7,30
58700,31.37,7,30
58800,31.89,7,30
58900,32.39,7,30
59000,31.61,7,30
59100,31.31,7,30
59200,31.1,7,30
59300,31.42,7,30
59400,31.61,7,30
59500,31.51,7,30
59600,31.1,7,30
59700,30.68,7,30
59800,30.58,7,30
59900,30.57,7,30
60000,30.57,7,30
60100,30.58,7,30
60200,30.57,7,30
60300,30.58,7,30
60400,30.57,7,30
60500,30.57,7,30
60600,30.57,7,30
60700,30.57,7,30
60800,30.58,7,30
60900,30.6,7,30
61000,31.1,7,30
61100,31.1,7,30
61200,31.1,7,30
61300,31.1,7,30
61400,31.12,7,30
61500,31.61,7,30
61600,31.61,7,30
61700,31.61,7,30
61800,31.61,7,30
61900,31.61,7,30
62000,31.61,7,30
62100,31.61,7,30
62200,31.6,7,30
62300,31.61,7,30
62400,31.6,7,30
62500,32.24,7,30
62600,31.89,7,30
62700,31.62,7,30
62800,31.08,7,30
62900,31.73,7,30
63000,30.58,7,30
63100,30.6,7,30
63200,31.21,7,30
63300,31.36,7,30
63400,31.36,7,30
63500,31.06,7,30
63600,30.58,7,30
63700,31.36,7,30
63800,30.58,7,30
63900,30.58,7,30
64000,31.1,7,30
64100,31.26,7,30
64200,31.1,7,30
64300,31.12,7,30
64400,32.4,7,30
64500,32.15,7,30
64600,32.39,7,30
64700,32.39,7,30
64800,32.4,7,30
64900,32.39,7,30
65000,32.39,7,30
65100,32.38,7,30
65200,31.08,7,30
65300,31.26,7,30
65400,31.86,7,30
65500,31.87,7,30
65600,30.57,7,30
65700,31.06,7,30
65800,30.58,7,30
65900,30.05,7,30
66000,30.05,7,30
66100,30.05,7,30
66200,30.05,7,30
66300,30.05,7,30
66400,30.05,7,30
66500,30.05,7,30
66600,30.6,7,30
66700,31.05,7,30
66800,30.58,7,30
66900,31.89,7,30
67000,31.88,7,30
67100,32.09,7,30
67200,32.71,7,30
67300,32.57,7,30
67400,33.19,7,30
67500,32.4,7,30
67600,32.39,7,30
67701,31.12,7,30
67801,31.72,7,30
67901,31.88,7,30
68001,31.86,7,30
68101,31.86,7,30
68201,30.57,7,30
