timestamp_ms ,valid_samples ,distance_cm,75
5125,73.47,7,75
5241,73.44,7,75
5359,73.56,7,75
5476,73.67,7,75
4658,73.29,7,75
4774,73.29,7,75
4891,73.1,7,75
5008,73.38,7,75
5125,73.47,7,75
5241,73.44,7,75
5359,73.56,7,75
5476,73.67,7,75
100,79.37,3,75
226,76.71,7,75
345,73.67,7,75
462,76.15,7,75
580,79.11,7,75
699,74.39,7,75
817,76.76,7,75
934,74.12,7,75
1052,74.9,7,75
1169,74.76,7,75
1287,72.41,7,75
1403,71.31,7,75
1519,70.83,7,75
1635,73.38,7,75
1752,75.31,7,75
1869,75.2,7,75
1987,74.97,7,75
2105,74.56,7,75
2222,74.22,7,75
2339,74.63,7,75
2456,74.56,7,75
2574,74.56,7,75
2692,74.69,7,75
2808,74.98,7,75
2926,74.7,7,75
3043,74.71,7,75
3161,74.73,7,75
3278,74.81,7,75
3395,75.02,7,75
3513,75.48,7,75
3631,75.62,7,75
3748,75.08,7,75
3866,74.39,7,75
3983,74.19,7,75
4101,74.58,7,75
4217,74.76,7,75
4335,74.46,7,75
4452,74.28,7,75
4570,74.42,7,75
4686,74.71,7,75
4804,74.87,7,75
4922,75.24,7,75
5039,75.2,7,75
5156,74.91,7,75
5274,74.63,7,75
5392,74.35,7,75
5509,74.28,7,75
5626,74.58,7,75
5743,74.71,7,75
5861,74.28,7,75
5978,74.29,7,75
6095,74.41,7,75
6212,74.71,7,75
6330,75.07,7,75
6448,75.07,7,75
6564,74.84,7,75
6682,74.72,7,75
6800,74.89,7,75
6917,74.83,7,75
7034,74.79,7,75
7152,74.37,7,75
7269,74.27,7,75
7387,74.28,7,75
7503,74.12,7,75
7621,74.19,7,75
7738,74.28,7,75
7855,74.12,7,75
7972,73.78,7,75
8089,73.65,7,75
8206,73.79,7,75
8323,73.99,7,75
8440,73.8,7,75
8557,73.74,7,75
8674,73.89,7,75
8792,73.96,7,75
8908,73.74,7,75
9025,73.43,7,75
9142,73.73,7,75
9260,73.76,7,75
9376,73.66,7,75
9493,73.31,7,75
9610,73.31,7,75
9726,73.56,7,75
9843,73.36,7,75
9960,73.05,7,75
10077,73.11,7,75
10193,73.18,7,75
10310,73.22,7,75
10427,73.3,7,75
10545,73.44,7,75
10661,73.28,7,75
10778,73.28,7,75
10895,73.29,7,75
11012,73.31,7,75
11128,73.26,7,75
11245,73.2,7,75
11362,73.13,7,75
11479,73.02,7,75
11595,73.02,7,75
11712,73.01,7,75
11829,73.15,7,75
11945,73.58,7,75
12062,73.71,7,75
12180,73.55,7,75
12297,73.77,7,75
12413,74.08,7,75
12531,73.93,7,75
12648,73.74,7,75
12765,73.72,7,75
12881,73.33,7,75
12999,73.1,7,75
13116,73.07,7,75
13233,73.1,7,75
13349,73.14,7,75
13466,73.2,7,75
13583,73.21,7,75
13700,73.13,7,75
13816,73.16,7,75
13933,73.2,7,75
14050,73.21,7,75
14167,73.3,7,75
14283,73.3,7,75
14400,73.31,7,75
14517,73.29,7,75
14633,73.44,7,75
14750,73.42,7,75
14868,73.74,7,75
14985,73.77,7,75
15101,73.73,7,75
15218,73.74,7,75
15336,73.66,7,75
15453,73.44,7,75
15569,73.37,7,75
15686,73.36,7,75
15803,73.44,7,75
15920,73.32,7,75
16036,73.31,7,75
16154,73.6,7,75
16271,73.64,7,75
16388,73.74,7,75
16504,73.76,7,75
16622,73.85,7,75
16739,73.82,7,75
16856,73.81,7,75
16972,73.78,7,75
17090,73.74,7,75
17207,73.74,7,75
17324,73.74,7,75
17441,73.76,7,75
17558,73.77,7,75
17675,73.89,7,75
17792,74.15,7,75
17909,73.82,7,75
18026,73.74,7,75
18143,73.77,7,75
18260,73.78,7,75
18377,74.01,7,75
18494,74.3,7,75
18612,74.38,7,75
18728,74.18,7,75
18846,73.78,7,75
18963,73.69,7,75
19080,73.83,7,75
19197,74.09,7,75
19314,74.54,7,75
19432,74.83,7,75
19549,74.91,7,75
19666,74.64,7,75
19784,74.71,7,75
19901,74.48,7,75
20019,74.53,7,75
20136,74.55,7,75
20253,74.83,7,75
20371,75.41,7,75
20489,75.02,7,75
20606,74.29,7,75
20723,74.19,7,75
20841,74.38,7,75
20958,74.26,7,75
21075,73.82,7,75
21192,73.81,7,75
21309,74.55,7,75
21427,75.31,7,75
21544,76.27,7,75
21662,76.87,7,75
21781,77.39,7,75
21899,77.08,7,75
22018,76.07,7,75
22135,74.94,7,75
22253,74.65,7,75
22371,74.73,7,75
22488,74.82,7,75
22605,74.94,7,75
22723,75.43,7,75
22841,74.92,7,75
22959,74.75,7,75
23075,74.89,7,75
23193,75.26,7,75
23311,75.38,7,75
23429,75.37,7,75
23546,75.43,7,75
23664,75.57,7,75
23782,75.2,7,75
23900,74.81,7,75
24016,74.95,7,75
24134,75.01,7,75
24252,74.93,7,75
24370,75.0,7,75
24486,75.09,7,75
24604,75.27,7,75
24722,75.54,7,75
24840,75.22,7,75
24957,75.11,7,75
25075,74.85,7,75
25193,74.7,7,75
25310,74.3,7,75
25427,74.29,7,75
25544,74.29,7,75
25662,74.28,7,75
25779,74.55,7,75
25896,74.63,7,75
26014,74.56,7,75
26131,74.85,7,75
26249,75.19,7,75
26366,75.22,7,75
26484,74.95,7,75
26602,74.73,7,75
26719,74.45,7,75
26836,74.23,7,75
26953,74.08,7,75
27071,74.47,7,75
27188,75.35,7,75
27305,76.0,7,75
27423,76.72,7,75
27542,76.0,7,75
27660,74.91,7,75
27778,74.73,7,75
27894,74.31,7,75
28012,73.76,7,75
28129,73.77,7,75
28247,73.84,7,75
28363,74.25,7,75
28480,74.31,7,75
28598,74.27,7,75
28715,74.2,7,75
28832,74.3,7,75
28949,74.31,7,75
29067,74.29,7,75
29184,74.29,7,75
29301,74.28,7,75
29418,74.3,7,75
29536,74.28,7,75
29652,74.31,7,75
29770,74.63,7,75
29888,74.31,7,75
30005,74.27,7,75
30123,74.31,7,75
30239,73.91,7,75
30356,60.41,7,75
30469,69.29,7,75
30582,73.81,7,75
30700,73.77,7,75
30817,73.76,7,75
30934,74.14,7,75
