timestamp_ms ,valid_samples ,distance_cm,60
10545,66.93,7,60
9863,65.77,7,60
9976,65.65,7,60
10090,64.88,7,60
10204,65.06,7,60
10316,67.06,7,60
10431,65.76,7,60
10545,66.93,7,60
9863,65.77,7,60
9976,65.65,7,60
10090,64.88,7,60
10204,65.06,7,60
10316,67.06,7,60
10431,65.76,7,60
10545,66.93,7,60
100,56.94,7,60
210,56.67,7,60
320,55.37,7,60
430,57.89,7,60
540,55.26,7,60
649,54.61,7,60
758,54.8,7,60
868,55.87,7,60
977,56.91,7,60
1087,58.44,7,60
1198,61.37,7,60
1309,60.92,7,60
1422,59.98,7,60
1532,59.99,7,60
1644,56.94,7,60
1755,60.44,7,60
1865,60.36,7,60
1977,60.78,7,60
2088,60.36,7,60
2200,61.29,7,60
2312,62.02,7,60
2424,60.87,7,60
2536,62.07,7,60
2649,58.41,7,60
2759,59.96,7,60
2870,63.02,7,60
2982,62.94,7,60
3095,62.52,7,60
3208,62.62,7,60
3319,62.0,7,60
3432,63.13,7,60
3545,63.41,7,60
3657,62.65,7,60
3770,61.58,7,60
3881,65.69,7,60
3995,65.13,7,60
4108,65.92,7,60
4221,67.08,7,60
4336,59.46,7,60
4447,67.36,7,60
4561,66.09,7,60
4675,68.52,7,60
4790,65.57,7,60
4902,66.09,7,60
5016,62.66,7,60
5129,62.62,7,60
5241,61.94,7,60
5353,65.24,7,60
5467,66.78,7,60
5580,68.31,7,60
5695,65.95,7,60
5809,57.81,7,60
5919,64.61,7,60
6033,62.05,7,60
6146,62.14,7,60
6257,62.43,7,60
6370,61.68,7,60
6481,61.5,7,60
6594,62.37,7,60
6706,61.77,7,60
6818,61.53,7,60
6930,61.6,7,60
7042,61.45,7,60
7154,62.3,7,60
7266,62.62,7,60
7378,62.43,7,60
7491,66.7,7,60
7605,63.3,7,60
7717,61.92,7,60
7830,63.08,7,60
7943,62.82,7,60
8055,61.79,7,60
8167,62.1,7,60
8280,65.92,7,60
8393,67.08,7,60
8507,65.04,7,60
8621,61.86,7,60
8732,61.53,7,60
8845,63.28,7,60
8957,63.64,7,60
9070,63.6,7,60
9183,63.96,7,60
9295,62.48,7,60
9408,61.87,7,60
9521,63.16,7,60
9632,64.79,7,60
9746,64.48,7,60
9859,65.83,7,60
9973,67.43,7,60
10087,66.47,7,60
10201,63.64,7,60
10314,63.48,7,60
10427,67.62,7,60
10542,67.9,7,60
10656,66.94,7,60
10770,65.77,7,60
10884,66.94,7,60
10998,67.65,7,60
11113,67.37,7,60
11227,64.7,7,60
11340,64.3,7,60
11453,64.3,7,60
11567,67.08,7,60
11680,65.02,7,60
11794,64.98,7,60
11908,67.64,7,60
12022,67.14,7,60
12136,63.72,7,60
12249,64.58,7,60
12362,62.33,7,60
12474,64.59,7,60
12588,66.44,7,60
12701,66.28,7,60
12816,55.98,7,60
12925,63.13,7,60
13038,63.63,7,60
13151,63.27,7,60
13263,64.44,7,60
13377,64.14,7,60
13490,64.12,7,60
13602,64.29,7,60
13716,68.89,7,60
13831,68.52,7,60
13945,68.67,7,60
14061,68.31,7,60
14176,68.15,7,60
14290,67.65,7,60
14405,66.71,7,60
14519,66.44,7,60
14633,66.37,7,60
14747,66.27,7,60
14861,66.61,7,60
14976,66.39,7,60
15089,66.61,7,60
15203,63.62,7,60
15316,63.62,7,60
15429,64.39,7,60
15543,63.96,7,60
15655,63.67,7,60
15768,64.46,7,60
15882,65.65,7,60
15995,65.21,7,60
16109,65.32,7,60
16223,65.78,7,60
16336,65.45,7,60
16450,65.3,7,60
16564,64.79,7,60
16676,64.19,7,60
16790,63.87,7,60
16903,63.6,7,60
17015,63.51,7,60
17128,63.62,7,60
17242,63.43,7,60
17354,63.7,7,60
17467,64.28,7,60
17581,64.8,7,60
17693,64.88,7,60
17807,64.64,7,60
17921,64.72,7,60
18033,64.23,7,60
18147,64.45,7,60
18259,66.37,7,60
18374,66.69,7,60
18488,68.69,7,60
18603,68.63,7,60
18717,65.15,7,60
18831,64.53,7,60
18945,65.49,7,60
19058,65.38,7,60
19172,66.12,7,60
19286,67.15,7,60
19400,67.69,7,60
19514,67.4,7,60
19629,66.91,7,60
19743,66.82,7,60
19857,66.31,7,60
19972,65.72,7,60
20085,63.85,7,60
20198,63.87,7,60
20311,63.68,7,60
20424,63.89,7,60
20537,63.5,7,60
20649,63.61,7,60
20763,63.44,7,60
20876,63.02,7,60
20988,63.19,7,60
21101,63.12,7,60
21214,63.1,7,60
21326,64.39,7,60
21439,65.4,7,60
21553,62.68,7,60
21665,63.59,7,60
21778,63.55,7,60
21892,63.96,7,60
22004,65.57,7,60
22118,66.74,7,60
22232,64.81,7,60
22344,60.61,7,60
22456,64.72,7,60
22569,66.07,7,60
22683,65.81,7,60
22797,66.75,7,60
22910,66.15,7,60
23024,64.04,7,60
23137,63.77,7,60
23249,60.3,7,60
23361,55.31,7,60
23471,59.98,7,60
23582,60.32,7,60
23694,63.67,7,60
23806,63.6,7,60
23920,65.31,7,60
24034,64.38,7,60
24146,65.3,7,60
24260,63.88,7,60
24374,63.29,7,60
24486,64.36,7,60
24599,65.13,7,60
24713,68.39,7,60
24827,68.33,7,60
24942,67.34,7,60
25057,68.12,7,60
25171,61.79,7,60
25283,68.23,7,60
25398,62.77,7,60
25510,60.43,7,60
25622,62.19,7,60
25735,72.79,7,60
25851,66.61,7,60
25965,61.29,7,60
26078,63.43,7,60
26190,72.77,7,60
26307,71.51,7,60
26423,63.7,7,60
26535,61.43,7,60
26647,60.18,7,60
26759,55.66,7,60
26868,55.46,7,60
26978,55.48,7,60
27087,55.34,7,60
27197,55.3,7,60
27307,56.42,7,60
27417,58.54,7,60
27528,62.25,7,60
27640,62.12,7,60
27753,60.94,7,60
27865,63.55,7,60
27978,60.94,7,60
28090,61.03,7,60
28201,62.85,7,60
28314,65.07,7,60
28428,61.35,7,60
28539,61.26,7,60
28651,59.64,7,60
28763,61.31,7,60
28874,61.27,7,60
28986,61.07,7,60
29097,61.03,7,60
29210,61.11,7,60
29322,60.66,7,60
29433,61.1,7,60
29545,61.02,7,60
29657,61.06,7,60
29769,60.8,7,60
29881,60.63,7,60
29992,60.27,7,60
30104,60.46,7,60
30216,61.11,7,60
30327,61.06,7,60
30439,59.96,7,60
30551,61.23,7,60
30662,60.49,7,60
30774,59.89,7,60
30885,60.01,7,60
30997,58.85,7,60
31108,58.41,7,60
31218,58.39,7,60
31330,58.73,7,60
31440,59.56,7,60
31552,57.87,7,60
31662,58.33,7,60
31773,58.73,7,60
31884,58.71,7,60
31994,56.82,7,60
32105,56.28,7,60
32215,59.44,7,60
32326,60.28,7,60
32437,58.9,7,60
32548,56.36,7,60
32658,56.6,7,60
32769,57.4,7,60
32878,57.07,7,60
32989,57.37,7,60
33099,58.5,7,60
33210,59.82,7,60
33321,58.58,7,60
33432,58.04,7,60
33543,58.36,7,60
33653,57.92,7,60
33764,57.61,7,60
33874,59.0,7,60
33985,58.18,7,60
34096,60.37,7,60
34207,57.32,7,60
34318,57.09,7,60
34427,57.36,7,60
34538,57.43,7,60
34649,57.57,7,60
34760,59.66,7,60
34871,60.2,7,60
34982,60.29,7,60
35094,60.41,7,60
35206,60.34,7,60
35317,59.63,7,60
35428,58.52,7,60
35539,58.95,7,60
35650,57.93,7,60
35761,59.69,7,60
35872,59.35,7,60
35983,59.29,7,60
36094,59.46,7,60
36205,59.32,7,60
36317,59.39,7,60
36427,59.39,7,60
36539,58.91,7,60
36649,58.69,7,60
36761,59.0,7,60
36872,58.98,7,60
36982,59.01,7,60
37094,59.17,7,60
37204,59.12,7,60
37316,58.97,7,60
37427,59.14,7,60
37537,59.06,7,60
37649,58.92,7,60
37760,59.15,7,60
37870,59.06,7,60
37982,59.11,7,60
38092,59.15,7,60
38204,59.17,7,60
38315,59.04,7,60
38426,59.43,7,60
38537,59.69,7,60
38648,59.68,7,60
38759,59.74,7,60
38871,59.76,7,60
38982,59.75,7,60
39093,59.57,7,60
39204,59.41,7,60
39316,59.64,7,60
39427,59.69,7,60
39538,59.6,7,60
39649,59.55,7,60
39760,59.62,7,60
39872,59.38,7,60
39983,59.38,7,60
40094,59.45,7,60
40205,59.49,7,60
40316,59.37,7,60
40427,59.41,7,60
40539,59.63,7,60
40650,59.3,7,60
40761,59.62,7,60
40872,59.56,7,60
40983,59.56,7,60
41095,59.32,7,60
41205,59.41,7,60
41317,58.63,7,60
41427,59.38,7,60
41539,59.36,7,60
41650,59.59,7,60
41761,59.55,7,60
41872,59.81,7,60
41984,59.86,7,60
42095,60.2,7,60
42207,59.64,7,60
42317,59.18,7,60
42429,59.64,7,60
42540,59.3,7,60
42651,59.64,7,60
42762,59.42,7,60
42873,59.55,7,60
42985,59.84,7,60
43096,59.89,7,60
43207,59.78,7,60
43319,59.87,7,60
43429,59.74,7,60
43541,59.73,7,60
43653,59.73,7,60
43763,59.64,7,60
43875,59.89,7,60
43986,59.47,7,60
44097,59.53,7,60
44209,59.63,7,60
44320,59.73,7,60
44431,59.64,7,60
44542,59.48,7,60
44653,59.48,7,60
44765,59.73,7,60
44876,59.64,7,60
44987,59.64,7,60
45099,59.61,7,60
45210,59.63,7,60
45321,59.38,7,60
45432,59.72,7,60
45544,59.55,7,60
45655,59.63,7,60
45766,59.62,7,60
45877,59.56,7,60
45988,59.48,7,60
46100,59.72,7,60
46211,59.54,7,60
46322,59.81,7,60
46433,59.86,7,60
46544,59.44,7,60
46656,59.46,7,60
46767,59.72,7,60
46878,59.83,7,60
46990,59.56,7,60
47100,59.74,7,60
47212,59.87,7,60
47324,59.73,7,60
47435,59.95,7,60
47546,59.94,7,60
47657,60.24,7,60
47769,59.71,7,60
47881,59.78,7,60
47991,59.72,7,60
48103,59.31,7,60
48215,59.67,7,60
48325,59.78,7,60
48437,59.74,7,60
48548,59.82,7,60
48659,59.71,7,60
48771,59.99,7,60
48882,59.8,7,60
48993,59.72,7,60
49104,59.88,7,60
49216,59.97,7,60
49328,60.28,7,60
49439,59.66,7,60
49550,60.21,7,60
49661,59.68,7,60
49773,59.72,7,60
49884,59.82,7,60
49995,59.72,7,60
50107,59.62,7,60
50217,59.73,7,60
50329,59.72,7,60
50441,59.72,7,60
50551,59.75,7,60
50663,59.71,7,60
50775,59.55,7,60
50885,59.21,7,60
50997,59.95,7,60
51107,60.06,7,60
51219,59.97,7,60
51331,59.74,7,60
51442,59.89,7,60
51553,59.57,7,60
51664,59.72,7,60
51776,59.28,7,60
51887,59.18,7,60
51998,59.24,7,60
52109,59.71,7,60
52220,59.21,7,60
52331,59.42,7,60
52443,59.12,7,60
52553,59.3,7,60
52665,59.63,7,60
52775,59.4,7,60
52887,59.29,7,60
52998,59.3,7,60
53109,59.28,7,60
53220,59.31,7,60
53331,59.3,7,60
53442,59.31,7,60
53554,59.29,7,60
53664,59.32,7,60
53776,59.38,7,60
53886,59.32,7,60
53998,59.3,7,60
54109,59.31,7,60
54220,59.29,7,60
54331,59.32,7,60
54443,59.29,7,60
54553,59.31,7,60
54665,59.3,7,60
54775,59.29,7,60
54887,59.28,7,60
54998,59.3,7,60
55109,59.29,7,60
55220,59.3,7,60
55331,59.3,7,60
55442,59.29,7,60
55554,59.29,7,60
55664,59.29,7,60
55776,59.29,7,60
55886,59.29,7,60
55998,59.29,7,60
56109,59.29,7,60
56220,59.28,7,60
56331,59.29,7,60
56442,59.29,7,60
56553,59.29,7,60
56665,59.28,7,60
56775,59.32,7,60
56887,59.29,7,60
56997,59.55,7,60
57109,59.69,7,60
57221,59.69,7,60
57331,59.72,7,60
57443,59.63,7,60
57554,59.32,7,60
57665,59.63,7,60
57777,59.72,7,60
57887,59.63,7,60
57999,59.37,7,60
58110,57.93,7,60
58221,57.1,7,60
58331,55.85,7,60
58441,55.31,7,60
58550,54.88,7,60
58659,54.38,7,60
58769,54.62,7,60
58877,54.47,7,60
58987,54.51,7,60
59096,54.36,7,60
59205,53.85,7,60
59314,54.7,7,60
59423,54.74,7,60
59533,55.28,7,60
59641,57.5,7,60
59752,59.06,7,60
59864,59.15,7,60
59974,59.15,7,60
60085,59.17,7,60
60196,59.14,7,60
60307,59.16,7,60
60419,59.16,7,60
60529,59.12,7,60
60641,59.16,7,60
60751,58.9,7,60
60862,58.83,7,60
60974,58.75,7,60
61084,58.73,7,60
61195,58.71,7,60
61306,58.75,7,60
61417,58.75,7,60
61528,58.83,7,60
61638,58.9,7,60
61750,59.09,7,60
61860,58.47,7,60
61971,59.38,7,60
62083,58.75,7,60
62193,58.39,7,60
62304,58.64,7,60
62414,58.77,7,60
62526,59.16,7,60
62637,59.14,7,60
62748,59.08,7,60
62859,59.07,7,60
62969,58.32,7,60
63081,58.23,7,60
63192,59.07,7,60
63302,58.95,7,60
63413,59.01,7,60
63524,59.21,7,60
63635,59.27,7,60
63747,59.06,7,60
63857,59.04,7,60
63968,59.14,7,60
64079,59.01,7,60
64190,58.99,7,60
64302,59.02,7,60
64412,59.01,7,60
64523,59.03,7,60
64634,59.03,7,60
64745,59.01,7,60
64856,59.03,7,60
64967,59.07,7,60
65078,59.06,7,60
65189,59.05,7,60
65300,59.07,7,60
65412,59.15,7,60
65522,59.12,7,60
65633,59.08,7,60
65744,59.14,7,60
65855,59.12,7,60
65967,59.03,7,60
66077,59.16,7,60
66189,59.08,7,60
66299,58.99,7,60
66410,59.02,7,60
66522,59.03,7,60
66632,59.02,7,60
66743,59.04,7,60
66854,59.01,7,60
66965,59.01,7,60
67077,59.03,7,60
67187,59.01,7,60
67298,58.84,7,60
67409,58.59,7,60
67520,58.6,7,60
67631,58.6,7,60
67741,58.59,7,60
67852,58.6,7,60
67963,58.94,7,60
68074,58.98,7,60
68185,59.01,7,60
68296,59.16,7,60
68407,59.01,7,60
68518,59.17,7,60
68629,59.11,7,60
68740,59.08,7,60
68851,59.12,7,60
68962,58.7,7,60
69072,58.8,7,60
69184,58.66,7,60
