timestamp_ms ,valid_samples ,distance_cm,90
16065,55.24,7,90
15410,54.89,7,90
15518,55.01,7,90
15628,54.77,7,90
15737,54.88,7,90
15846,55.01,7,90
15955,55.24,7,90
16065,55.24,7,90
15410,54.89,7,90
15518,55.01,7,90
15628,54.77,7,90
15737,54.88,7,90
15846,55.01,7,90
15955,55.24,7,90
16065,55.24,7,90
100,93.19,7,90
224,94.17,7,90
350,93.9,7,90
475,94.87,7,90
601,96.41,7,90
727,94.85,7,90
852,93.89,7,90
977,97.23,6,90
1248,90.07,5,90
1375,89.3,7,90
1498,89.66,7,90
1622,90.57,7,90
1745,94.11,6,90
1875,93.84,4,90
2014,94.67,7,90
2140,91.91,3,90
2273,93.38,7,90
2398,93.74,5,90
2826,94.67,3,90
2969,97.55,3,90
3106,95.81,6,90
3233,91.09,3,90
3366,90.13,7,90
3490,90.13,7,90
3614,91.75,7,90
3738,95.34,3,90
3872,96.82,7,90
3999,96.28,3,90
4133,95.2,7,90
4258,94.91,7,90
4384,96.14,7,90
4510,95.7,7,90
4636,96.57,3,90
4770,95.77,7,90
4896,95.96,7,90
5023,95.39,3,90
5156,94.47,7,90
5282,95.83,7,90
5408,96.0,7,90
5534,95.31,7,90
5660,95.77,7,90
5786,95.89,7,90
5912,96.66,7,90
6039,95.69,3,90
6173,95.5,7,90
6299,95.68,7,90
6425,96.41,4,90
6557,96.23,6,90
6685,95.76,7,90
6811,95.14,7,90
6937,94.89,7,90
7063,94.78,3,90
7196,94.69,7,90
7322,94.16,7,90
7447,93.42,7,90
7572,94.22,7,90
7698,95.3,7,90
7824,95.3,7,90
7950,94.46,7,90
8075,94.9,3,90
8658,93.53,3,90
9369,97.09,5,90
9922,96.46,4,90
10061,96.75,5,90
10500,96.39,3,90
10643,96.35,3,90
11194,93.14,7,90
11319,93.19,7,90
11445,93.3,7,90
11570,93.31,3,90
11842,93.73,5,90
11970,94.85,5,90
12412,94.66,3,90
12868,94.63,4,90
13006,93.05,7,90
13132,92.1,7,90
13256,91.56,7,90
13381,91.07,7,90
13505,91.08,7,90
13629,91.4,7,90
13753,91.92,7,90
13878,92.42,4,90
14016,92.34,4,90
14154,91.81,7,90
14279,91.42,7,90
14403,91.26,7,90
14527,91.28,7,90
14652,91.75,7,90
14776,91.21,7,90
14901,90.85,7,90
15025,90.75,7,90
15149,90.64,7,90
15272,90.73,7,90
15396,90.96,7,90
15520,90.88,7,90
15644,90.83,7,90
15768,90.77,7,90
15893,90.94,7,90
