timestamp_ms ,valid_samples ,distance_cm,55
992,55.1,7,55
6102,55.08,7,55
6211,54.43,7,55
6320,54.42,7,55
6429,54.59,7,55
5664,55.09,7,55
5774,55.1,7,55
5883,55.1,7,55
5992,55.1,7,55
6102,55.08,7,55
6211,54.43,7,55
6320,54.42,7,55
6429,54.59,7,55
5664,55.09,7,55
5774,55.1,7,55
5883,55.1,7,55
5992,55.1,7,55
6102,55.08,7,55
6211,54.43,7,55
6320,54.42,7,55
6429,54.59,7,55
100,55.1,7,55
208,55.09,7,55
318,55.1,7,55
428,54.59,7,55
536,54.58,7,55
646,53.9,7,55
754,53.69,7,55
863,53.71,7,55
971,53.82,7,55
1080,53.19,7,55
1188,53.19,7,55
1297,53.39,7,55
1405,53.72,7,55
1515,52.66,7,55
1623,53.69,7,55
1731,53.73,7,55
1841,53.72,7,55
1949,53.73,7,55
2058,53.72,7,55
2166,53.73,7,55
2275,54.07,7,55
2384,53.8,7,55
2493,53.86,7,55
2601,53.71,7,55
2710,54.59,7,55
2820,50.26,7,55
2927,51.94,7,55
3035,51.94,7,55
3143,53.83,7,55
3252,54.87,7,55
3360,55.27,7,55
3470,55.1,7,55
3579,55.09,7,55
3689,54.93,7,55
3798,52.11,7,55
3906,54.14,7,55
4015,55.08,7,55
4123,54.88,7,55
4233,55.08,7,55
4341,53.75,7,55
4450,55.1,7,55
4559,55.36,7,55
4669,55.52,7,55
4779,55.52,7,55
4888,55.18,7,55
4998,55.1,7,55
5106,55.16,7,55
5216,55.09,7,55
5325,55.09,7,55
5435,55.4,7,55
5544,55.1,7,55
5653,55.5,7,55
5763,55.52,7,55
5872,55.79,7,55
5982,55.52,7,55
6091,55.5,7,55
6201,55.5,7,55
6310,55.62,7,55
6420,55.82,7,55
6530,55.75,7,55
6639,55.51,7,55
6749,55.1,7,55
6858,55.1,7,55
6968,55.33,7,55
7076,55.5,7,55
7186,56.01,7,55
7297,56.22,7,55
7406,56.4,7,55
7516,56.06,7,55
7625,56.06,7,55
7735,56.07,7,55
7845,56.09,7,55
7955,56.1,7,55
8065,56.01,7,55
8174,55.76,7,55
8284,55.72,7,55
8393,55.82,7,55
8503,55.87,7,55
8612,56.04,7,55
8722,55.15,7,55
8832,55.9,7,55
8941,55.67,7,55
9051,55.67,7,55
9160,55.56,7,55
9270,55.59,7,55
9379,55.5,7,55
9489,55.78,7,55
9598,55.75,7,55
9708,56.07,7,55
9818,56.01,7,55
9927,56.02,7,55
10037,55.99,7,55
10147,55.99,7,55
10257,56.09,7,55
10366,55.86,7,55
10476,55.84,7,55
10586,56.02,7,55
10695,55.65,7,55
10805,55.64,7,55
10914,55.31,7,55
11024,55.63,7,55
11133,55.32,7,55
11243,56.0,7,55
11353,55.64,7,55
11462,55.52,7,55
11572,55.5,7,55
11681,55.16,7,55
11791,55.52,7,55
11900,55.53,7,55
12010,55.51,7,55
12120,55.24,7,55
12229,55.41,7,55
12339,55.52,7,55
12448,55.52,7,55
12558,55.28,7,55
12667,54.89,7,55
12776,54.59,7,55
12886,55.1,7,55
12995,55.52,7,55
13105,55.53,7,55
13214,55.34,7,55
13324,55.34,7,55
13433,55.59,7,55
13543,55.67,7,55
13652,55.24,7,55
13761,56.08,7,55
13872,55.48,7,55
13981,55.62,7,55
14091,55.52,7,55
14200,55.83,7,55
14310,55.53,7,55
14419,55.79,7,55
14529,55.73,7,55
14639,56.33,7,55
14748,55.36,7,55
14858,55.36,7,55
14967,55.44,7,55
15077,55.28,7,55
15186,55.16,7,55
15295,56.01,7,55
15406,55.4,7,55
15514,54.77,7,55
15624,55.38,7,55
15733,55.37,7,55
15843,55.38,7,55
15952,55.38,7,55
16062,55.38,7,55
16172,55.82,7,55
16281,55.38,7,55
16391,55.52,7,55
16500,55.36,7,55
16610,55.38,7,55
16719,55.38,7,55
16828,55.38,7,55
